Name,Position,Duration,Server,Returner,A1: 1st Serve Made?,A2: 1st Serve Location,A3: 2nd Serve Made?,A4: 2nd Serve Location,B1: Return Shot,B2: Return Spin,B3: Returm Direction,B4: Return Outcome,C1: Who Won Point?,D1: Winner Type,D2: Spin Winner,D3: Shot Winner,D4: Winner Direction,E1: Opp. Unforced Error Spin,E2: Opp. Unforced Error Shot,E3: Opp. Unforced Error Direction,E4: Opp. Unforced Error Placement,F1: Error Type,F2: Spin Error,F3: Shot Error,F4: Error Direction,F5: Placement Error,G1: Opp. Winner Shot,G2: Opp. Winner Spin,G3: Opp. Winner Direction,Game Score,Set Score,Match Score,Player Handedness,Opponent Handedness,Final Score,Player,Opponent,Opponent School,Location,Date
0-0 (1),4111800,13400,Lina Mueller,Olive Maunupau,Yes,Wide,,,Forehand,Topspin,Cross Court,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand,Cross Court,Net,,,,,,,,,0-0,0:0,0:0,Right,Right,"4-0, 4-0",Olive Maunupau,Lina Mueller,New Mexico State,Orlando,1/27/2026
0-15 (1),4138233,18100,Lina Mueller,Olive Maunupau,Yes,Body,,,Forehand,Topspin,Inside In,Neutral,Lina Mueller,,,,,,,,,Forced Error,Slice,Forehand,Cross Court,Long,Forehand,Topspin,Cross Court,0-15,0:0,0:0,Right,Right,,,,,,
15-15 (1),4167600,14600,Lina Mueller,Olive Maunupau,Yes,T,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand,Inside Out,Wide,,,,,,,,,15-15,0:0,0:0,Right,Right,,,,,,
15-30 (1),4199666,14400,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Forced Error,Topspin,Forehand,Cross Court,,,,,,,,,,,,,15-30,0:0,0:0,Right,Right,,,,,,
15-40 (1),4219533,29866,Lina Mueller,Olive Maunupau,No,Wide,Yes,T,Backhand,Topspin,Middle,Error,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand Return,Middle,Net,,,,15-40,0:0,0:0,Right,Right,,,,,,
30-40 (1),4260733,11966,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Winner,Topspin,Forehand,Cross Court,,,,,,,,,,,,,30-40,0:0,0:0,Right,Right,,,,,,
0-0 (2),4302433,8300,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Winner,Topspin,Backhand,Cross Court,,,,,,,,,,,,,0-0,1:0,0:0,Right,Right,,,,,,
15-0 (1),4320966,23166,Olive Maunupau,Lina Mueller,No,Body,Yes,Body,Backhand,Topspin,Middle,Error,Olive Maunupau,Lina Mueller Unforced Error,,,,Topspin,Backhand Return,Middle,Long,,,,,,,,,15-0,1:0,0:0,Right,Right,,,,,,
30-0 (1),4356000,11133,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Inside In,Neutral,Olive Maunupau,Winner,Topspin,Backhand,Cross Court,,,,,,,,,,,,,30-0,1:0,0:0,Right,Right,,,,,,
40-0 (1),4373566,10000,Olive Maunupau,Lina Mueller,Yes,Body,,,Forehand,Topspin,Inside Out,Error,Olive Maunupau,Forced Error,Flat,Serve,,,,,,,,,,,,,,40-0,1:0,0:0,Right,Right,,,,,,
0-0 (3),4413500,31300,Lina Mueller,Olive Maunupau,No,Body,Yes,Body,Backhand,Topspin,Middle,Offensive,Olive Maunupau,Forced Error,Topspin,Backhand Return,Middle,,,,,,,,,,,,,0-0,2:0,0:0,Right,Right,,,,,,
0-15 (2),4470266,13266,Lina Mueller,Olive Maunupau,Yes,T,,,Forehand,Slice,Middle,Defensive,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Forehand,Inside Out,Long,,,,0-15,2:0,0:0,Right,Right,,,,,,
15-15 (2),4494200,15233,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Inside Out,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Slice,Forehand,Cross Court,Wide,,,,,,,,,15-15,2:0,0:0,Right,Right,,,,,,
15-30 (2),4513900,11000,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Middle,Error,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand Return,Middle,Long,,,,15-30,2:0,0:0,Right,Right,,,,,,
30-30 (1),4537666,21366,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Inside Out,Neutral,Lina Mueller,,,,,,,,,Forced Error,Pancake,Forehand,Down Line,Wide,Forehand,Topspin,Cross Court,30-30,2:0,0:0,Right,Right,,,,,,
40-30 (1),4566900,24933,Lina Mueller,Olive Maunupau,No,Body,Yes,T,Forehand,Topspin,Middle,Neutral,Olive Maunupau,Lina Mueller Unforced Error,,,,Slice,Forehand,Middle,Net,,,,,,,,,40-30,2:0,0:0,Right,Right,,,,,,
40-40 (1),4627200,23666,Lina Mueller,Olive Maunupau,No,Body,No,T,,,,,Olive Maunupau,Lina Mueller Double Fault,,,,,,,,,,,,,,,,40-40,2:0,0:0,Right,Right,,,,,,
Advantage Returner (1),4653133,33033,Lina Mueller,Olive Maunupau,Yes,Body,,,Backhand,Topspin,Middle,Neutral,Olive Maunupau,Forced Error,Topspin,Forehand,Cross Court,,,,,,,,,,,,,Advantage Returner,2:0,0:0,Right,Right,,,,,,
0-0 (4),4705133,7733,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Inside Out,Offensive,Lina Mueller,,,,,,,,,Forced Error,Topspin,Forehand,Cross Court,Long,Backhand,Topspin,Inside Out,0-0,3:0,0:0,Right,Right,,,,,,
0-15 (3),4728033,15600,Olive Maunupau,Lina Mueller,Yes,Body,,,Backhand,Topspin,Down Line,Offensive,Olive Maunupau,Forced Error,Topspin,Forehand,Cross Court,,,,,,,,,,,,,0-15,3:0,0:0,Right,Right,,,,,,
15-15 (3),4756500,60666,Olive Maunupau,Lina Mueller,No,T,Yes,Body,Forehand,Topspin,Middle,Neutral,Lina Mueller,,,,,,,,,Unforced Error,Topspin,Backhand,Cross Court,Net,,,,15-15,3:0,0:0,Right,Right,,,,,,
15-30 (3),4836466,27433,Olive Maunupau,Lina Mueller,No,Wide,No,Wide,,,,,Lina Mueller,,,,,,,,,Double Fault,,,,,,,,15-30,3:0,0:0,Right,Right,,,,,,
